,C_Catenin (Beta),C_Cyclin D1,C_Cytokeratin 18,C_Cytokeratin 7,C_DNA,C_E-cadherin,C_EGFR,C_HES1,C_LC3A/B,C_MET,C_NDG1 (p-T346),C_NFkB (p65),C_PDL1,C_S6,C_S6 (p-S235/S236),C_S6 (p-S240/244),C_STAT1 (alpha-isoform),C_STAT1 (p-S727),C_STAT3,C_Vimentin,C_c-Jun,C_ki67,C_p21 (Waf1/Cip1)
2_cell_D06_fld2_4,8.498299149,4.031061571,9.508967708,6.823072498,8.719587595,6.398795795,8.008143974,8.87217399,2.080966843,5.999750669,8.85751446,9.027608075,4.765955716,10.15465574,7.492465431,9.713118676,7.229210227,5.694830052,9.147079662,3.737305261,5.138045118,6.204138402,3.703679534
2_cell_D06_fld2_5,8.886877038,4.035760762,8.759941606,7.204772574,9.100669637,6.82891199,8.454134474,9.006552293,-0.208295929,6.213220544,8.7598587,8.909557288,4.321310727,10.31306382,7.630441209,9.88700546,7.254327316,5.611312546,8.361711075,1.988103284,5.164034304,6.486141271,3.556545776
2_cell_D06_fld2_6,8.607493193,3.354402648,8.783652043,7.446406554,9.401166655,6.326780019,8.149308987,9.01078329,2.220951675,6.438875299,5.698316067,9.137746849,5.125205671,10.66801368,8.066700353,10.22293744,7.542100246,5.85830868,8.812885124,4.828316746,5.337495375,5.402589451,3.481542659
2_cell_D06_fld2_7,8.69208106,4.677209695,9.238618985,6.95658693,9.303512466,6.010579944,8.263448143,8.650618747,2.472954952,6.420217891,6.010416104,9.010698107,4.995217387,10.52964708,7.979789448,9.876159065,7.247610341,5.835350787,9.092332562,2.910630043,5.489391138,7.17437713,3.111729321
2_cell_D06_fld2_8,8.781430943,5.150150062,10.99164431,7.23211991,8.999960551,6.797191091,8.553335593,9.147476849,2.78604408,6.42377625,7.471439021,9.219587779,5.74882722,10.49966648,8.087085962,10.03279104,7.49882744,6.048674145,9.184358628,2.868797359,5.685541152,6.761824591,2.829831411
2_cell_D06_fld2_9,8.727352027,4.470741849,10.22461878,7.583917882,9.504864367,7.102239206,8.798816359,9.285917065,2.83386726,6.453511631,9.219922871,9.358187249,5.396306518,10.79464609,8.300818546,10.40767154,7.581724877,6.020832334,8.539319981,3.70680781,5.650840786,6.096359191,3.608718942
2_cell_D06_fld2_10,9.053286091,4.053228657,8.051080544,6.874016377,9.554409326,7.343532585,8.777072246,8.885003476,2.802944583,6.612177405,7.723332839,8.936954487,5.097994479,10.34885819,7.540504357,9.698383474,7.327897163,6.512732206,8.833892353,2.691551795,5.383050511,5.71365156,4.398972497
2_cell_C04_fld2_1,8.815402293,4.576453394,9.807623544,7.57301534,7.994066441,7.573909472,7.869714269,8.885783141,2.795659037,6.173122615,9.008520162,8.942559298,5.433259105,10.46283075,7.956466632,9.770732793,7.149757129,6.584661053,9.731714832,3.210214985,5.316019626,5.134019996,4.428372329
2_cell_C04_fld2_2,8.988612413,4.45283181,11.28354908,8.184664936,9.46990736,7.931963261,8.334180877,9.861061526,3.054014951,7.1518901,4.067436722,9.60383692,5.62388335,11.55850178,9.480041462,11.21393432,8.18682545,6.684133785,10.33077909,3.48344148,6.248812197,5.639622519,4.117130515
2_cell_C04_fld2_3,8.923011021,3.851667391,9.348273538,7.93091261,8.615505445,7.684692972,7.495943596,8.235358942,2.436831105,6.388143435,7.21222368,8.873264624,4.797375678,10.30259962,7.864580931,9.909401934,7.179979576,5.809673472,9.972982768,3.10825206,5.58354925,5.787330103,5.021654658
2_cell_C04_fld2_4,9.007718732,4.657334549,11.65806837,8.613967332,9.516946342,7.412207331,8.716976522,9.464968841,4.141637619,7.241452893,5.810514102,9.770221046,6.106409302,11.2260606,9.256537111,11.04513176,8.114352169,6.543404701,10.50111068,5.0039765,6.297601324,5.748064087,3.817492175
2_cell_C04_fld2_5,8.573646315,3.692327543,10.30878932,7.536140532,9.667565055,6.315183419,7.775829684,9.184707425,3.02402804,6.760753053,6.160061967,9.219503633,5.462334413,10.78951589,8.415839046,10.24789488,7.768587791,6.267719223,9.82736276,3.469414916,5.917516099,6.253342563,3.046266706
